Location,Area_sqft,BHK,Bathrooms,Furnishing,Property_Type,Facing,City_Zone,Parking_Type,Transaction_Type,Property_Age_Years,Floor,Distance_from_City_Center_km,Price
Chennai,3957,3,1,Semi-Furnished,Apartment,West,Central,Open,Resale,12,27,1.31,40043982.0
Mumbai,1474,4,1,Fully Furnished,Independent House,South,Outskirts,Covered,Resale,11,2,4.43,24959906.0
Pune,553,5,1,Semi-Furnished,Apartment,East,Central,None,Resale,29,16,7.16,6611996.0
Hyderabad,981,2,2,Unfurnished,Independent House,South,Suburb,None,Resale,23,10,9.27,8688515.0
Chennai,1187,1,2,Unfurnished,Villa,North,Central,None,Resale,8,12,5.72,13181063.0
Bangalore,3781,3,3,Fully Furnished,Independent House,South,Suburb,None,New,32,12,14.76,48978246.0
Bangalore,2667,5,4,Fully Furnished,Apartment,West,Outskirts,Covered,Resale,26,19,34.64,34091410.0
Delhi,1370,1,1,Semi-Furnished,Apartment,East,Central,Covered,Resale,30,15,12.56,18314863.0
Delhi,1047,5,1,Semi-Furnished,Apartment,South,Outskirts,None,New,24,12,5.91,14883361.0
Kolkata,1345,3,1,Unfurnished,Villa,East,Central,Open,New,27,3,24.12,11868744.0
Mumbai,1895,4,2,Fully Furnished,Villa,West,Outskirts,Covered,Resale,3,14,27.48,32050983.0
Chennai,2447,1,4,Unfurnished,Apartment,East,Central,Open,Resale,2,12,19.37,25629495.0
Chennai,1572,1,3,Semi-Furnished,Villa,East,Outskirts,Covered,New,22,26,14.24,16257536.0
Kolkata,3286,2,2,Fully Furnished,Independent House,East,Central,Covered,New,20,27,33.05,28240938.0
Pune,1132,1,4,Semi-Furnished,Independent House,West,Suburb,Covered,Resale,17,4,2.37,12121715.0
Pune,3487,3,1,Unfurnished,Villa,West,Central,None,New,23,21,16.69,37665576.0
Kolkata,3861,5,4,Fully Furnished,Villa,West,Suburb,Open,Resale,3,18,27.39,34276610.0
Pune,2057,5,2,Semi-Furnished,Apartment,West,Outskirts,Open,New,30,2,6.74,21715213.0
Delhi,878,4,2,Semi-Furnished,Apartment,North,Central,Covered,Resale,12,5,27.7,12983068.0
Chennai,1537,4,2,Unfurnished,Independent House,North,Outskirts,None,New,33,11,2.18,15372075.0
Kolkata,4353,3,2,Unfurnished,Apartment,North,Suburb,None,Resale,7,23,3.8,37606270.0
Chennai,1376,5,1,Fully Furnished,Villa,West,Suburb,None,Resale,33,11,18.31,13175038.0
Bangalore,636,4,1,Unfurnished,Independent House,West,Outskirts,None,New,31,21,26.38,7200292.0
Delhi,2923,4,2,Semi-Furnished,Apartment,South,Outskirts,Covered,New,29,11,34.8,39704850.0
Hyderabad,4443,2,1,Fully Furnished,Villa,North,Central,Open,Resale,18,1,7.89,41145222.0
Delhi,997,2,2,Semi-Furnished,Villa,West,Suburb,Open,New,34,5,34.69,12557706.0
Kolkata,2102,3,3,Fully Furnished,Apartment,South,Outskirts,None,Resale,17,12,2.66,18176487.0
Hyderabad,2576,3,4,Semi-Furnished,Independent House,North,Outskirts,None,Resale,17,5,31.55,23102251.0
Bangalore,2957,3,3,Unfurnished,Villa,South,Central,None,New,19,16,14.76,39978513.0
Kolkata,564,3,1,Unfurnished,Independent House,West,Outskirts,Covered,Resale,1,23,4.92,5750551.0
Mumbai,2724,5,1,Fully Furnished,Independent House,East,Suburb,Covered,Resale,26,8,34.81,43585308.0
Chennai,3439,1,4,Semi-Furnished,Apartment,East,Central,Covered,New,8,23,9.1,36222526.0
Bangalore,969,3,1,Unfurnished,Villa,East,Outskirts,None,Resale,32,17,3.67,11507096.0
Chennai,3728,2,2,Unfurnished,Apartment,East,Outskirts,None,New,14,5,21.47,36626093.0
Pune,540,1,4,Unfurnished,Independent House,North,Central,Covered,Resale,29,14,10.54,5553529.0
Mumbai,1085,1,3,Fully Furnished,Apartment,West,Outskirts,Open,Resale,15,13,1.66,17065897.0
Mumbai,1086,5,3,Unfurnished,Villa,South,Outskirts,Open,New,18,23,31.5,17622791.0
Bangalore,3680,4,1,Semi-Furnished,Villa,South,Central,Covered,Resale,3,14,34.18,49014014.0
Mumbai,3163,1,3,Fully Furnished,Independent House,East,Suburb,Open,Resale,26,27,2.32,51306628.0
Hyderabad,3990,5,1,Fully Furnished,Independent House,West,Suburb,Open,Resale,5,5,33.89,36351297.0
Mumbai,2438,5,1,Fully Furnished,Independent House,East,Central,None,Resale,20,7,22.13,40289894.0
Chennai,1474,5,3,Fully Furnished,Independent House,West,Suburb,Covered,Resale,12,5,7.92,16281866.0
Chennai,2625,3,3,Fully Furnished,Villa,East,Outskirts,Open,Resale,27,6,15.85,26329292.0
Kolkata,1741,4,2,Fully Furnished,Independent House,North,Suburb,None,Resale,17,7,15.68,14909461.0
Chennai,2089,3,1,Unfurnished,Apartment,South,Central,Covered,Resale,1,25,17.6,21607927.0
Kolkata,3410,2,2,Fully Furnished,Independent House,West,Central,Open,Resale,33,11,10.44,28622261.0
Chennai,763,4,2,Unfurnished,Independent House,South,Suburb,None,Resale,32,13,2.28,7364221.0
Hyderabad,1467,3,4,Semi-Furnished,Apartment,East,Outskirts,Open,New,24,16,26.38,12679733.0
Kolkata,3040,4,3,Unfurnished,Apartment,North,Outskirts,Open,New,2,17,19.51,26867454.0
Delhi,4149,2,3,Fully Furnished,Independent House,South,Central,Open,New,30,10,34.69,58209434.0
Pune,2430,3,3,Semi-Furnished,Independent House,West,Suburb,Covered,New,0,14,10.61,27222197.0
Bangalore,1017,4,2,Fully Furnished,Villa,South,Outskirts,Covered,New,22,29,26.7,14153115.0
Chennai,3546,2,4,Fully Furnished,Independent House,South,Central,None,New,3,1,3.5,37713928.0
Mumbai,2382,5,3,Fully Furnished,Villa,North,Suburb,Covered,Resale,15,25,11.12,39407549.0
Chennai,593,4,3,Unfurnished,Apartment,South,Suburb,None,New,7,13,18.71,7058322.0
Mumbai,1519,2,4,Semi-Furnished,Apartment,West,Suburb,Covered,Resale,26,3,24.78,24047991.0
Pune,926,5,1,Semi-Furnished,Apartment,South,Outskirts,None,Resale,7,7,25.84,9650634.0
Pune,2352,2,4,Semi-Furnished,Independent House,North,Outskirts,Open,Resale,16,28,3.43,24878345.0
Pune,2182,1,4,Unfurnished,Independent House,North,Central,Covered,Resale,0,26,21.65,23731412.0
Mumbai,3073,2,3,Unfurnished,Villa,South,Central,Open,New,5,4,6.28,51002209.0
Chennai,2797,3,1,Unfurnished,Independent House,East,Central,Open,New,23,3,33.75,27378993.0
Pune,4124,3,2,Unfurnished,Independent House,East,Outskirts,Covered,New,30,6,26.09,42150859.0
Hyderabad,2989,3,1,Semi-Furnished,Villa,North,Outskirts,None,New,10,29,30.15,26917672.0
Kolkata,3926,3,3,Unfurnished,Apartment,West,Outskirts,Covered,New,14,3,24.17,33232070.0
Mumbai,4249,1,1,Fully Furnished,Apartment,East,Outskirts,Open,Resale,32,7,23.89,66178017.0
Mumbai,2034,1,3,Semi-Furnished,Villa,South,Suburb,Covered,New,31,27,7.59,32407791.0
Chennai,3409,1,4,Unfurnished,Villa,East,Suburb,Open,New,16,14,10.71,34719664.0
Mumbai,493,5,4,Unfurnished,Villa,North,Outskirts,Covered,Resale,13,7,29.39,8799251.0
Mumbai,4194,4,4,Fully Furnished,Villa,North,Outskirts,Open,New,26,2,23.57,67842636.0
Pune,3766,3,2,Fully Furnished,Independent House,North,Central,Open,New,7,17,27.94,40780397.0
Chennai,3346,4,4,Fully Furnished,Villa,East,Central,Open,Resale,22,12,33.22,34600634.0
Pune,488,3,1,Fully Furnished,Independent House,West,Suburb,Open,Resale,34,16,30.39,3672487.0
Kolkata,2950,3,4,Semi-Furnished,Apartment,West,Suburb,Open,Resale,14,26,16.49,25203579.0
Kolkata,3214,3,3,Fully Furnished,Apartment,North,Central,Covered,New,6,17,30.97,28892763.0
Pune,1845,1,3,Fully Furnished,Apartment,East,Central,Covered,New,14,13,25.04,20311193.0
Kolkata,2230,5,1,Unfurnished,Independent House,North,Suburb,Open,New,22,4,3.29,19808930.0
Chennai,3141,3,4,Fully Furnished,Independent House,West,Outskirts,Covered,Resale,31,3,33.0,30161676.0
Bangalore,954,3,4,Unfurnished,Villa,East,Suburb,Covered,Resale,24,22,6.94,13483451.0
Pune,4164,3,1,Fully Furnished,Apartment,North,Central,Open,Resale,27,21,27.24,42836386.0
Hyderabad,2834,2,2,Semi-Furnished,Independent House,West,Central,Covered,Resale,16,20,9.64,26730310.0
Hyderabad,1080,3,3,Unfurnished,Apartment,West,Suburb,Covered,New,4,14,12.3,10899455.0
Mumbai,2031,1,3,Unfurnished,Apartment,West,Outskirts,Open,Resale,33,26,26.97,30129933.0
Kolkata,602,1,4,Unfurnished,Apartment,North,Suburb,None,New,25,23,17.86,3932940.0
Hyderabad,4318,4,1,Unfurnished,Apartment,West,Suburb,None,New,9,9,19.93,39493658.0
Mumbai,3539,1,1,Unfurnished,Independent House,North,Central,None,New,15,8,26.18,55867075.0
Bangalore,2625,4,4,Fully Furnished,Apartment,West,Outskirts,Open,Resale,31,20,22.44,33218944.0
Chennai,2086,5,2,Fully Furnished,Apartment,South,Central,Covered,New,19,5,16.39,22252054.0
Chennai,1228,2,1,Semi-Furnished,Villa,South,Outskirts,Covered,Resale,20,23,33.47,12034385.0
Chennai,2422,1,1,Fully Furnished,Villa,East,Central,None,Resale,31,6,31.73,23180914.0
Hyderabad,502,3,2,Semi-Furnished,Apartment,West,Suburb,None,New,34,25,25.56,2958025.0
Bangalore,1957,5,1,Semi-Furnished,Villa,East,Outskirts,Open,New,28,1,31.06,24978418.0
Hyderabad,4487,3,4,Unfurnished,Apartment,North,Outskirts,Open,Resale,30,12,7.32,39657031.0
Kolkata,2911,4,3,Semi-Furnished,Independent House,South,Outskirts,None,New,19,27,12.42,24896624.0
Hyderabad,503,4,3,Semi-Furnished,Apartment,East,Central,Covered,New,6,0,5.27,6861154.0
Bangalore,3838,2,4,Semi-Furnished,Villa,South,Outskirts,None,Resale,16,26,27.35,50276074.0
Bangalore,3257,5,4,Semi-Furnished,Independent House,East,Suburb,Covered,Resale,31,22,23.51,42224611.0
Kolkata,1206,4,4,Semi-Furnished,Apartment,West,Central,Open,Resale,16,29,1.65,12262247.0
Bangalore,2474,3,2,Unfurnished,Independent House,South,Suburb,Covered,New,0,15,30.04,33267125.0
Bangalore,926,1,4,Semi-Furnished,Apartment,North,Outskirts,None,Resale,22,25,2.14,12209911.0
Chennai,3836,1,2,Unfurnished,Villa,South,Outskirts,Covered,New,15,21,19.49,38673138.0
Kolkata,697,5,2,Fully Furnished,Independent House,South,Suburb,Open,New,15,26,15.68,7435452.0
Delhi,760,5,4,Semi-Furnished,Apartment,East,Suburb,Open,Resale,18,9,28.72,11373400.0
Delhi,4117,4,4,Fully Furnished,Villa,South,Suburb,None,New,20,8,16.75,58548061.0
Bangalore,2376,1,1,Fully Furnished,Villa,East,Suburb,None,Resale,2,19,13.27,31483187.0
Delhi,2477,2,1,Semi-Furnished,Independent House,East,Outskirts,None,New,22,27,23.34,34027000.0
Delhi,3811,2,3,Fully Furnished,Apartment,South,Suburb,Open,Resale,11,21,26.62,53073740.0
Bangalore,2573,2,2,Unfurnished,Independent House,South,Outskirts,Open,New,33,18,29.28,32358696.0
Delhi,1989,2,2,Unfurnished,Villa,North,Central,None,Resale,11,18,12.41,28252179.0
Hyderabad,1789,4,2,Fully Furnished,Independent House,West,Central,None,New,29,12,34.68,15911607.0
Mumbai,3914,3,3,Semi-Furnished,Villa,West,Central,Open,Resale,24,3,20.5,63833754.0
Kolkata,662,2,2,Fully Furnished,Independent House,South,Central,Open,New,6,10,23.51,7014887.0
Mumbai,3383,4,3,Semi-Furnished,Villa,South,Central,Covered,Resale,5,16,27.09,55656576.0
Bangalore,3319,2,2,Fully Furnished,Villa,South,Suburb,Covered,Resale,6,25,29.21,43555764.0
Chennai,2263,2,3,Semi-Furnished,Villa,West,Suburb,None,New,21,19,11.8,23757395.0
Kolkata,401,3,3,Fully Furnished,Apartment,South,Outskirts,Open,Resale,8,17,9.99,4100255.0
Bangalore,2333,2,1,Semi-Furnished,Independent House,East,Central,Covered,Resale,13,28,25.09,30169325.0
Chennai,793,4,4,Fully Furnished,Villa,East,Central,Open,New,18,7,32.54,9556327.0
Mumbai,705,4,3,Semi-Furnished,Independent House,West,Outskirts,None,New,18,8,2.04,12392248.0
Bangalore,929,1,4,Unfurnished,Apartment,West,Suburb,None,Resale,17,11,12.92,11747114.0
Kolkata,3779,5,2,Unfurnished,Independent House,East,Suburb,Open,Resale,17,1,5.21,33477888.0
Kolkata,1364,2,4,Semi-Furnished,Independent House,West,Central,Open,New,24,1,23.5,11658495.0
Pune,4419,2,2,Semi-Furnished,Apartment,West,Outskirts,Covered,New,33,14,23.63,44503511.0
Hyderabad,1070,4,4,Unfurnished,Independent House,South,Outskirts,Open,New,21,23,1.44,10058177.0
Delhi,4468,2,3,Semi-Furnished,Apartment,South,Central,Open,Resale,28,9,27.83,61355383.0
Chennai,2652,4,3,Unfurnished,Independent House,East,Suburb,Covered,New,12,22,18.77,27978134.0
Pune,3072,1,1,Unfurnished,Apartment,South,Central,Covered,Resale,4,1,7.91,32487430.0
Delhi,2113,2,3,Fully Furnished,Apartment,East,Suburb,Open,New,23,28,25.43,29756328.0
Delhi,4444,1,4,Fully Furnished,Independent House,South,Outskirts,Covered,New,1,24,30.26,63614553.0
Bangalore,1035,1,4,Semi-Furnished,Apartment,West,Suburb,None,Resale,30,16,8.84,12320456.0
Delhi,3899,5,1,Semi-Furnished,Independent House,West,Suburb,Covered,New,16,14,1.57,56225845.0
Hyderabad,1517,4,2,Unfurnished,Villa,West,Central,Open,Resale,32,17,34.08,13274642.0
Kolkata,2554,1,4,Unfurnished,Independent House,North,Central,Open,Resale,15,21,11.18,22449612.0
Pune,437,4,4,Unfurnished,Villa,South,Suburb,Covered,Resale,14,1,23.12,6062856.0
Delhi,2032,5,1,Fully Furnished,Apartment,South,Central,Covered,New,34,25,15.87,29143436.0
Bangalore,4175,4,3,Unfurnished,Villa,East,Central,Open,New,12,28,20.9,55421065.0
Hyderabad,2454,5,2,Fully Furnished,Apartment,East,Outskirts,Covered,Resale,10,19,29.44,21869592.0
Mumbai,4485,2,4,Semi-Furnished,Independent House,South,Suburb,Covered,Resale,13,17,11.19,72153156.0
Kolkata,3803,5,4,Fully Furnished,Independent House,West,Suburb,Open,Resale,30,5,12.69,33631277.0
Kolkata,918,5,3,Semi-Furnished,Independent House,West,Central,Open,Resale,13,24,4.24,10425669.0
Pune,2641,5,3,Semi-Furnished,Villa,West,Central,Open,New,30,29,19.69,28991733.0
Kolkata,2763,3,4,Semi-Furnished,Villa,South,Suburb,Open,New,26,10,33.64,24019128.0
Delhi,1441,1,2,Fully Furnished,Apartment,South,Central,Covered,New,14,8,11.96,21324504.0
Bangalore,1794,4,1,Semi-Furnished,Villa,North,Suburb,Open,Resale,30,4,31.39,22610612.0
Kolkata,3269,4,1,Fully Furnished,Apartment,South,Suburb,Open,New,1,16,3.24,29435432.0
Kolkata,4076,3,1,Fully Furnished,Independent House,West,Outskirts,None,New,27,14,13.4,34532138.0
Mumbai,4121,2,1,Semi-Furnished,Villa,West,Suburb,Open,New,33,8,33.75,64900657.0
Mumbai,4172,1,4,Semi-Furnished,Apartment,North,Suburb,Covered,Resale,1,13,27.36,66881286.0
Chennai,634,1,4,Fully Furnished,Villa,North,Suburb,Covered,Resale,1,18,2.38,8303599.0
Hyderabad,3540,1,1,Semi-Furnished,Villa,South,Central,Open,New,17,4,10.98,32468450.0
Delhi,846,1,1,Unfurnished,Independent House,West,Outskirts,None,Resale,23,16,3.8,10853045.0
Kolkata,407,3,2,Semi-Furnished,Apartment,North,Outskirts,None,New,25,11,24.16,2532120.0
Kolkata,1399,4,4,Semi-Furnished,Independent House,South,Suburb,None,Resale,34,29,4.95,12324219.0
Bangalore,1734,2,3,Unfurnished,Apartment,East,Suburb,None,New,14,20,24.12,21843013.0
Chennai,533,2,2,Fully Furnished,Independent House,East,Suburb,Covered,New,7,9,1.51,7391221.0
Hyderabad,2832,2,4,Semi-Furnished,Villa,North,Central,Open,Resale,29,1,7.05,26702840.0
Chennai,455,3,4,Unfurnished,Apartment,East,Suburb,Open,New,16,24,20.59,4343729.0
Pune,3585,3,3,Unfurnished,Independent House,East,Outskirts,Open,New,16,1,26.32,37358656.0
Hyderabad,1511,5,2,Fully Furnished,Apartment,South,Suburb,Open,New,25,23,13.17,14133037.0
Kolkata,3579,3,3,Fully Furnished,Apartment,South,Outskirts,None,Resale,6,4,1.63,31920669.0
Kolkata,1923,1,3,Fully Furnished,Apartment,West,Outskirts,Open,Resale,9,12,4.22,17029927.0
Hyderabad,543,4,2,Unfurnished,Apartment,North,Suburb,None,New,26,27,14.68,4600711.0
Kolkata,3316,2,1,Fully Furnished,Apartment,East,Outskirts,Open,Resale,20,16,22.84,26994498.0
Delhi,2503,3,3,Semi-Furnished,Independent House,East,Central,Covered,Resale,27,13,27.37,35284861.0
Hyderabad,1019,4,4,Semi-Furnished,Independent House,West,Central,Open,Resale,4,0,4.19,11838300.0
Chennai,2286,1,2,Semi-Furnished,Independent House,South,Central,None,New,14,6,12.31,23702692.0
Hyderabad,2420,3,3,Unfurnished,Apartment,South,Outskirts,Open,Resale,4,11,7.84,22018068.0
Kolkata,1808,3,4,Fully Furnished,Independent House,West,Central,None,Resale,13,14,1.09,17411061.0
Delhi,3321,4,1,Unfurnished,Villa,South,Central,Open,Resale,25,13,21.1,47066499.0
Delhi,3773,1,4,Unfurnished,Villa,North,Suburb,Covered,New,15,3,21.71,52936047.0
Pune,3876,3,3,Fully Furnished,Apartment,East,Outskirts,None,Resale,18,9,2.21,40647458.0
Chennai,1236,4,4,Semi-Furnished,Independent House,South,Central,Open,New,29,22,7.49,14081188.0
Mumbai,4302,1,1,Unfurnished,Villa,South,Central,Open,New,30,20,9.22,69346910.0
Mumbai,1985,3,4,Fully Furnished,Apartment,East,Suburb,None,Resale,9,18,13.87,32772085.0
Hyderabad,1236,3,4,Semi-Furnished,Independent House,South,Central,None,Resale,5,23,9.07,13376691.0
Pune,2957,2,4,Fully Furnished,Independent House,East,Suburb,Covered,New,22,0,15.57,31714123.0
Bangalore,3259,5,3,Fully Furnished,Independent House,West,Outskirts,None,New,25,18,11.19,43254719.0
Hyderabad,1797,1,1,Semi-Furnished,Independent House,West,Suburb,Open,New,3,26,33.26,15862107.0
Pune,4222,4,3,Semi-Furnished,Independent House,South,Outskirts,Open,New,17,9,24.31,45035445.0
Chennai,3830,2,1,Unfurnished,Villa,East,Outskirts,Open,New,31,26,6.82,37960629.0
Chennai,1204,3,3,Unfurnished,Apartment,South,Central,Open,Resale,33,22,30.34,10941327.0
Chennai,1475,4,2,Semi-Furnished,Independent House,East,Central,Covered,Resale,15,16,22.35,16037435.0
Chennai,3040,2,3,Fully Furnished,Villa,North,Suburb,Covered,New,23,3,33.01,30382636.0
Chennai,3484,2,1,Semi-Furnished,Villa,South,Central,Covered,Resale,2,1,13.92,36399336.0
Pune,1813,5,4,Semi-Furnished,Independent House,North,Central,Open,Resale,10,29,16.78,21297648.0
Pune,2063,2,1,Semi-Furnished,Apartment,North,Outskirts,Covered,New,27,10,18.88,20168912.0
Delhi,3375,1,3,Unfurnished,Independent House,North,Central,Covered,Resale,20,3,13.26,47183906.0
Mumbai,2453,5,3,Fully Furnished,Independent House,East,Outskirts,Covered,Resale,25,28,20.09,39953560.0
Kolkata,2820,5,3,Unfurnished,Apartment,East,Suburb,Covered,New,23,11,8.37,24941452.0
Chennai,2928,3,1,Unfurnished,Villa,North,Suburb,Covered,Resale,14,25,18.49,29196529.0
Bangalore,2340,3,4,Semi-Furnished,Independent House,North,Suburb,Covered,Resale,1,8,15.61,31791655.0
Kolkata,3552,1,2,Semi-Furnished,Independent House,East,Outskirts,Covered,New,3,2,15.03,30460087.0
Pune,2346,4,2,Unfurnished,Independent House,South,Central,Covered,Resale,29,10,6.92,25217562.0
Bangalore,914,1,4,Semi-Furnished,Independent House,South,Outskirts,None,New,17,14,12.99,12433839.0
Bangalore,620,5,2,Fully Furnished,Villa,West,Outskirts,None,Resale,25,3,19.15,8722233.0
Bangalore,627,3,4,Unfurnished,Villa,East,Outskirts,None,Resale,22,18,34.53,6948295.0
Delhi,2737,1,1,Semi-Furnished,Apartment,East,Central,None,Resale,8,1,14.43,38767148.0
Pune,3664,3,1,Unfurnished,Villa,North,Outskirts,Covered,Resale,23,21,5.85,38606453.0
Bangalore,1355,1,4,Fully Furnished,Independent House,North,Suburb,None,New,4,13,23.26,18280345.0
Chennai,1897,1,2,Unfurnished,Villa,East,Central,Open,Resale,23,13,12.19,19249232.0
Hyderabad,1680,2,2,Unfurnished,Apartment,South,Suburb,Open,Resale,32,22,8.12,14056467.0
Bangalore,2378,1,1,Unfurnished,Independent House,South,Outskirts,None,New,21,27,24.97,29359121.0
Delhi,1929,3,1,Semi-Furnished,Villa,West,Outskirts,Open,Resale,1,2,11.76,28408647.0
Kolkata,3062,1,4,Unfurnished,Apartment,West,Central,None,New,4,6,19.91,27072525.0
Pune,2813,4,4,Semi-Furnished,Villa,North,Central,None,Resale,8,26,8.33,32366093.0
Delhi,3105,2,1,Semi-Furnished,Independent House,West,Central,Covered,Resale,6,29,29.17,43776313.0
Bangalore,3935,1,1,Unfurnished,Apartment,North,Outskirts,Open,New,27,9,17.13,49863439.0
Pune,1317,4,1,Unfurnished,Villa,South,Outskirts,Open,New,23,8,31.93,13110164.0
Hyderabad,1601,3,1,Unfurnished,Independent House,East,Central,None,Resale,21,25,8.54,14274077.0
Bangalore,2822,4,2,Unfurnished,Apartment,North,Central,None,Resale,14,25,5.69,37855848.0
Delhi,2021,2,1,Unfurnished,Independent House,East,Central,Covered,New,18,1,11.88,28532950.0
Mumbai,1159,3,3,Unfurnished,Independent House,South,Suburb,Covered,New,22,11,25.25,19180133.0
Chennai,1888,1,1,Unfurnished,Independent House,North,Outskirts,None,Resale,30,16,16.47,17680811.0
Kolkata,2065,1,1,Semi-Furnished,Independent House,West,Outskirts,None,New,31,6,25.23,15418905.0
Delhi,2402,4,2,Fully Furnished,Apartment,South,Outskirts,Covered,New,11,6,11.19,34342524.0
Pune,859,1,2,Fully Furnished,Independent House,South,Outskirts,Open,New,23,11,23.77,8266037.0
Bangalore,3421,3,1,Fully Furnished,Villa,West,Central,Covered,New,9,27,21.02,46807062.0
Chennai,2690,3,1,Fully Furnished,Independent House,South,Central,None,New,8,22,21.4,28396262.0
Bangalore,1765,1,3,Semi-Furnished,Villa,West,Outskirts,Open,New,5,3,8.12,24180568.0
Pune,3601,4,2,Fully Furnished,Villa,South,Outskirts,Covered,New,14,12,23.26,38918750.0
Bangalore,1783,1,4,Unfurnished,Villa,East,Outskirts,Open,New,19,1,3.99,23789294.0
Mumbai,2535,5,4,Semi-Furnished,Independent House,North,Outskirts,None,Resale,28,10,21.83,40592384.0
Chennai,3432,1,2,Fully Furnished,Independent House,West,Suburb,Open,New,23,11,3.07,35086657.0
Chennai,4109,2,4,Fully Furnished,Villa,South,Outskirts,Covered,Resale,11,5,27.09,41934239.0
Pune,1921,1,1,Fully Furnished,Independent House,North,Outskirts,None,New,31,12,19.1,18637968.0
Kolkata,2023,5,1,Fully Furnished,Villa,East,Outskirts,Covered,New,11,1,25.77,18779604.0
Mumbai,1081,2,4,Fully Furnished,Independent House,East,Central,Covered,New,24,11,27.41,18412247.0
Delhi,3534,4,3,Fully Furnished,Independent House,North,Central,Open,New,30,13,2.03,50495926.0
Bangalore,3661,2,4,Semi-Furnished,Apartment,North,Central,Covered,New,17,19,18.44,48124646.0
Hyderabad,3819,3,3,Unfurnished,Villa,East,Outskirts,Covered,New,22,25,33.18,33807431.0
Bangalore,2267,5,4,Fully Furnished,Apartment,West,Outskirts,Covered,Resale,26,12,18.07,30303260.0
Bangalore,4009,3,3,Fully Furnished,Independent House,East,Central,None,New,3,13,28.12,53646569.0
Delhi,1599,3,3,Fully Furnished,Apartment,West,Central,Open,Resale,31,23,27.61,21613058.0
Bangalore,3223,2,3,Semi-Furnished,Apartment,North,Central,Open,New,15,4,11.49,42828603.0
Mumbai,3348,2,1,Fully Furnished,Independent House,North,Central,Open,New,30,12,21.71,53957086.0
Mumbai,4378,3,4,Semi-Furnished,Apartment,East,Suburb,None,New,8,8,5.18,70924402.0
Chennai,4025,4,1,Semi-Furnished,Villa,West,Outskirts,None,Resale,8,11,2.2,41090774.0
Pune,568,1,2,Unfurnished,Villa,East,Outskirts,Open,Resale,5,4,18.15,5709817.0
Kolkata,2421,1,2,Semi-Furnished,Independent House,West,Central,Open,Resale,10,1,15.9,21559082.0
Hyderabad,2594,5,2,Unfurnished,Independent House,North,Outskirts,None,Resale,2,0,34.46,23592865.0
Bangalore,838,2,1,Fully Furnished,Independent House,South,Outskirts,Open,Resale,21,25,9.13,10969361.0
